"","Site.Name","month","year","mean_ozone","mean_PM2.5"
"98","Hattie Avenue",9,2018,33.2333333333333,26.2
"99","Hattie Avenue",9,2019,53.5666666666667,41.35
"100","Hattie Avenue",10,2019,35.6129032258064,26.6129032258065
"101","Leggett",3,2018,40.8333333333333,NA
"102","Leggett",3,2019,41.7096774193548,NA
"103","Leggett",4,2019,43.4333333333333,25.9
"104","Leggett",5,2019,44.6451612903226,NA
"105","Leggett",6,2019,43.5666666666667,37.5333333333333
"106","Leggett",7,2018,39.4516129032258,NA
"107","Leggett",7,2019,43.258064516129,41.3870967741936
"108","Leggett",8,2018,34.4516129032258,NA
"109","Leggett",8,2019,36.4516129032258,31.9354838709677
"110","Leggett",9,2018,30.35,24.95
"111","Leggett",9,2019,36.2142857142857,NA
"112","Leggett",10,2019,32.4516129032258,24.9032258064516
"113","Linville Falls",3,2019,44.9354838709677,NA
"114","Linville Falls",4,2019,46.5862068965517,NA
"115","Linville Falls",5,2018,46.2258064516129,NA
"116","Linville Falls",5,2019,40.5161290322581,NA
"117","Linville Falls",6,2018,38.8666666666667,NA
"118","Linville Falls",6,2019,39.6071428571429,NA
"119","Linville Falls",7,2018,36.0645161290323,NA
"120","Linville Falls",7,2019,32.1935483870968,NA
"121","Linville Falls",8,2018,30.4193548387097,NA
"122","Linville Falls",8,2019,33.5333333333333,NA
"123","Linville Falls",9,2018,28.4,NA
"124","Linville Falls",9,2019,37.1666666666667,NA
"125","Linville Falls",10,2019,34.1612903225806,NA
"126","Mendenhall School",3,2018,43.6451612903226,29.8064516129032
"127","Mendenhall School",3,2019,45.1935483870968,NA
"128","Mendenhall School",4,2019,48.6333333333333,24.4666666666667
"129","Mendenhall School",5,2018,51.741935483871,NA
"130","Mendenhall School",5,2019,46.9032258064516,NA
"131","Mendenhall School",6,2018,54.4,35.2333333333333
"132","Mendenhall School",6,2019,46.8,31.6666666666667
"133","Mendenhall School",7,2018,46.6774193548387,32.4838709677419
"134","Mendenhall School",7,2019,48.9354838709677,NA
"135","Mendenhall School",8,2019,46.7096774193548,31
"136","Mendenhall School",9,2018,34.5217391304348,NA
"137","Mendenhall School",10,2019,37.4193548387097,20.258064516129
"138","Millbrook School",1,2019,30.3870967741935,37.9408602150538
"139","Millbrook School",2,2018,28.3571428571429,33.3035714285714
"140","Millbrook School",2,2019,33.5357142857143,40.3214285714286
"141","Millbrook School",3,2019,43.0967741935484,37.7365591397849
"142","Millbrook School",4,2018,47.8333333333333,35.8666666666667
"143","Millbrook School",4,2019,44.9333333333333,38.25
"144","Millbrook School",5,2018,42.7741935483871,35.1505376344086
"145","Millbrook School",5,2019,48.0322580645161,40.9139784946237
"146","Millbrook School",6,2018,52.5333333333333,41.7444444444444
"147","Millbrook School",6,2019,47.1333333333333,38.6944444444444
"148","Millbrook School",7,2018,44,36.6344086021505
"149","Millbrook School",7,2019,48.0967741935484,43.9247311827957
"150","Millbrook School",8,2018,41.6129032258064,41.1881720430108
"151","Millbrook School",8,2019,44.3870967741936,35.1827956989247
"152","Millbrook School",9,2018,32.4,NA
"153","Millbrook School",9,2019,43.3793103448276,NA
"154","Millbrook School",10,2019,37.3870967741936,26.0322580645161
"155","Millbrook School",11,2018,25.6,41.0388888888889
"156","Millbrook School",11,2019,30,36.6
"157","Pitt Agri. Center",3,2018,41.5483870967742,24.9516129032258
"158","Pitt Agri. Center",4,2019,45.7333333333333,25.85
"159","Pitt Agri. Center",5,2018,42.3548387096774,27.5645161290323
